Tipo de arriendo,URL del producto,Vendedor,Precio,Atributos,Localización,Solicitudes de visitas,Unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-1520106363-ronda-santo-domingo-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Greystar,$404.127,"1 a 2 dormitorios, 1 a 2 baños, 35 - 60 m² útiles","Santo Domingo 1669, Barrio Brasil, Santiago, RM (Metropolitana)",Solicitud online de visita,192 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2538366530-insitu-echaurren-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,No disponible,$370.346,"2 dormitorios, 1 a 2 baños, 22 - 62 m² útiles","Gorbea 2159, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",Solicitud online de visita,15 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2798124864-nueva-valdes-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$310.000,"1 a 2 dormitorios, 1 baño, 30 - 47 m² útiles","Nueva De Valdes - Nueva De Valdés 657, Santiago, San Diego, Santiago, RM (Metropolitana)",Solicitud online de visita,2 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-1580190767-serrano-capital-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$340.000,"1 dormitorio, 1 baño, 29 - 32 m² útiles","Serrano 562, Santiago, San Diego, Santiago, RM (Metropolitana)",Solicitud online de visita,97 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2534762048-carrera-capital-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$310.000,"1 dormitorio, 1 baño, 27 m² útiles","José Miguel Carrera 68, Ejército - Toesca, Santiago, RM (Metropolitana)",Solicitud online de visita,4 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2731745426-echaurren-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$343.000,"1 dormitorio, 1 baño, 31 - 37 m² útiles","Echaurren 40, Barrio República, Santiago, RM (Metropolitana)",Solicitud online de visita,5 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2851547690-vicuna-capital-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$345.000,"1 a 2 dormitorios, 1 a 2 baños, 28 - 50 m² útiles","Av. Vicuña Mackenna 1441, Ñuñoa, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",Solicitud online de visita,3 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-1503220223-portugal-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$345.000,"1 dormitorio, 1 baño, 31 m² útiles","Av. Portugal 676, Barrio Diez De Julio, Santiago, RM (Metropolitana)",Solicitud online de visita,1 unidad disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1486791691-morande-sur-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$325.000,"1 a 2 dormitorios, 1 a 2 baños, 22 - 50 m² útiles","Morandé 776, Centro Histórico De Santiago, Santiago, RM (Metropolitana)",Solicitud online de visita,5 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2866464418-romero-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$340.000,"1 dormitorio, 1 baño, 33 - 35 m² útiles","Romero 2349, Santiago, Barrio Yungay, Santiago, RM (Metropolitana)",Solicitud online de visita,2 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-1464215105-edificio-claudio-gay-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$320.000,"1 a 2 dormitorios, 1 a 2 baños, 30 - 51 m² útiles","Claudio Gay 2547, Barrio República, Santiago, RM (Metropolitana)",Solicitud online de visita,4 unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2798192574-midtown-santiago-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$320.000,"1 dormitorio, 1 baño, 32 m² útiles","Arturo Prat 621, Santiago, San Diego, Santiago, RM (Metropolitana)",Solicitud online de visita,1 unidad disponible
